ID,Score.1,Score.2,Score.3,Score.4,Score.5,Score.6,Score.7,Score.8,Score.9,Score.10,Score.11,Score.12,Score.13,Score.14,Score.15,Score.16,Score.17,Score.18,Score.19,Score.20
215,3,2,3,4,3,2,4,3,1,1,2,3,4,4,3,4,2,4,3,4
216,4,4,3,3,4,4,4,3,1,4,3,4,4,4,4,1,2,2,3,2
217,4,4,2,3,3,2,3,2,1,4,1,3,4,4,3,2,2,3,4,4
218,4,4,3,4,3,4,4,3,1,4,4,4,3,4,3,2,2,4,2,3
219,4,4,2,3,3,4,2,4,4,3,4,3,4,4,4,4,2,4,3,4
220,4,4,3,4,2,4,3,3,4,1,2,4,4,2,3,4,3,4,3,4
221,1,4,3,3,4,4,2,2,4,4,2,4,4,2,4,4,4,4,2,3
222,1,4,2,4,3,4,3,2,4,4,4,4,4,1,4,1,3,4,1,2
223,2,2,2,2,3,4,2,3,4,3,1,4,4,4,4,4,4,3,4,2
224,4,2,2,2,3,2,2,3,2,1,4,4,3,4,3,2,2,4,4,4
225,4,1,1,3,2,4,4,3,3,1,3,4,4,4,3,1,2,4,3,3
226,1,4,2,3,2,2,3,1,3,4,4,3,3,2,3,1,4,4,2,4
227,4,4,3,2,3,4,4,3,1,4,4,4,4,4,3,1,3,3,4,4
228,4,3,2,3,2,4,2,1,4,1,1,4,3,2,4,4,2,3,4,4
229,4,4,2,3,2,2,2,3,1,3,3,4,3,4,3,2,3,4,3,2
230,4,2,2,3,3,4,4,2,1,3,2,3,3,2,3,1,4,2,2,3
231,4,4,2,4,4,4,2,3,1,3,3,4,4,4,4,4,2,4,2,4
232,4,3,3,3,4,2,2,3,1,4,4,3,3,2,3,4,2,3,2,3
233,4,1,2,1,1,4,2,3,1,4,3,2,1,4,4,2,3,3,3,3
234,4,2,2,3,2,4,4,4,1,1,1,4,3,3,4,4,3,3,4,2
235,2,4,1,2,1,2,4,3,2,4,4,3,4,4,4,2,3,2,4,4
236,2,4,4,3,3,3,4,1,1,4,4,1,4,4,4,1,4,2,3,4
237,4,4,3,3,3,4,2,1,1,3,1,4,4,4,3,4,4,4,4,4
238,4,2,1,4,3,4,3,2,2,2,4,4,2,4,4,1,2,4,4,3
239,2,4,1,3,3,4,2,3,4,1,1,4,3,4,4,4,4,4,3,2
240,4,1,1,3,2,4,2,3,4,1,1,4,4,4,4,4,2,4,3,2
241,4,1,2,3,3,4,2,3,4,1,1,4,3,4,3,4,2,4,4,4
242,4,4,2,3,3,4,2,2,3,3,3,4,3,4,4,4,3,3,4,2
243,4,4,3,3,2,2,3,3,4,1,1,4,4,4,3,1,2,3,4,3
244,4,4,3,2,3,4,1,1,4,1,1,3,4,4,4,1,2,4,4,3
245,4,4,2,4,1,4,1,2,3,3,3,4,4,4,3,4,1,4,4,3
246,4,4,2,4,3,4,2,3,3,3,1,4,4,4,4,4,3,3,4,3
